t,x,y,z,dx,dy,dz
0.0,-1.6866388105859225,-1.4834823312867442,3.1604012381991047,-15.552032939640823,-50.69083738444519,0.6760548186128013
0.1,-3.2418421045500048,-6.552566069731263,3.228006720060385,-37.389275549332396,-83.55077663560674,29.691462411757772
0.2,-9.164493920452403,-18.193637658408093,9.09869372055066,-76.56316622537332,-82.04258330336963,170.52188607002557
0.30000000000000004,-18.55447534962467,-22.961082730405188,37.332383934065504,-7.94013784706455,111.80192892769804,162.9937119048049
0.4,-10.752521489865313,4.166748127131515,41.69743610151164,95.9928204429099,152.84031475197565,-38.54859991407684
0.5,0.6440887389573127,7.606980219989947,29.622663951250136,78.1223772311177,16.18812568157604,-84.72607914978425
0.6000000000000001,4.871953956358228,7.404373263446724,24.75222027155479,31.94983625875319,7.698536840655286,-31.521462220613312
0.7000000000000001,7.034055990707951,9.146687588121004,23.318371507127473,21.736261194659654,19.500873030936628,2.8823378251082232
0.8,9.219206195290159,11.30454786963405,25.328687836576435,17.522416901902854,7.9456240135122425,30.51435207404463
0.9,10.538539371088522,10.735812390823453,29.4212419219364,1.1579281300375133,-19.692245807464708,26.44273410572156
1.0,9.450791821297662,7.366098708141108,30.617234657720747,-16.240392926091758,-26.3392700939624,-7.330960516681326
1.1,7.29046078587017,5.467958372030973,27.955049818600134,-16.01742130319425,-6.624202417342628,-29.79876109263639
1.2000000000000002,6.247307560658811,6.041258224672582,24.65748243919347,-2.23266289723572,13.590790560288992,-25.371812208226068
1.3,6.843928206423026,8.186116484088771,22.88068737695492,12.335359999361657,24.342338906850713,-2.6989067696443847
1.4000000000000001,8.714379560531142,10.909726006042725,24.117701085264592,18.443628697545893,16.65435094840186,27.53389804808272
1.5,10.532653945932205,11.516986673769143,28.387466986571464,6.882284211561371,-13.061174641954656,34.612169944186505
1.6,10.090836402843417,8.297491077651793,31.040135074101894,-13.719569884578057,-30.05973727857769,3.0899756798175915
1.7000000000000002,7.788739969016594,5.5050392180536045,29.005462122534983,-19.38264402356426,-14.06536430245874,-28.23799521968427
1.8,6.214307598130564,5.484418217160045,25.39253603016504,-7.14985874029459,9.149003754563369,-30.692394848789135
1.9000000000000001,6.358768220957676,7.334839968966278,22.866983152777156,9.027722088618274,23.74434370075589,-11.670046180843627
2.0,8.01985201585422,10.233286957311224,23.058526793996315,19.40197207210643,23.429608366854353,20.312835775362625
2.1,10.239162635378962,12.020761642337149,26.92955030784968,13.25333863012121,-3.4773407889345442,39.908342304080456
2.2,10.670519741878461,9.537818799524315,31.040195254812406,-8.754058630325758,-30.918226962726205,16.076247215537567
2.3000000000000003,8.48835090931381,5.837116249791908,30.144799750957194,-21.566525238380194,-22.631170923654295,-23.24460208651649
2.4000000000000004,6.357214694202423,5.011584614793455,26.39127483750911,-12.699120251185668,3.061424859597852,-34.89573395559031
2.5,5.948526859076677,6.4494012217114784,23.165652959839132,4.474133509126208,21.32996495429887,-20.732250044279894
2.6,7.252041396027664,9.27757760565323,22.24482482865313,18.466457932422006,27.996408896625415,9.977089302316333
2.7,9.641818445561078,12.048683001036562,25.1610708203024,18.982312247469267,8.448474892392888,40.56452289537647
2.8000000000000003,11.048503845521518,10.967272584131807,30.357729407728424,-1.2808977866085147,-27.162137376648214,30.419705506183092
2.9000000000000004,9.385638888239376,6.616255525706919,31.245011921539017,-21.515145162982634,-31.36158414326494,-13.410068531950827
3.0,6.745474812924991,4.694955755478819,27.67571570133826,-18.584166907576467,-5.2059960196104615,-37.09993486782558
3.1,5.668805506724082,5.575056321784826,23.8250249479739,-1.3646776727351417,17.111750188333453,-29.356251208992568
3.2,6.472539278377963,8.11730579314551,21.804465459539745,15.447877824798102,29.48586160269679,-2.4722848307217404
3.3000000000000003,8.758381071683703,11.472228642324184,23.330567981829553,22.830485033587497,20.76469071864759,34.863949043472694
3.4000000000000004,11.038636285095462,12.270243936875028,28.777255268234285,8.206782793881793,-17.2909174613973,43.45064238698647
3.5,10.399737630460061,8.014045150044725,32.02069645922685,-17.866321313854687,-37.99457331014719,2.355268169443754
3.6,7.465372022324525,4.67132927484559,29.248308902123036,-24.007927685037814,-16.254790295644767,-35.60892510027806
3.7,5.598152093452498,4.7630870909157705,24.898911439171236,-8.550425028605888,10.882454390446306,-37.014962032067494
3.8000000000000003,5.755287016603347,6.847820152934851,21.845316495709536,10.338226322319555,27.659775399689476,-15.678686227006438
3.9000000000000004,7.665797357916409,10.295042170853666,21.76317419376995,23.604855500778807,30.477875881188048,22.361656246871995
4.0,10.476258116759109,12.94339532917246,26.317647745083935,18.185805977474434,-1.0676911190654437,50.856946959167324
