t,x,y,dx,dy
0.0,0.9027898084490892,3.029510076903197,2.805471367413915,5.046155787378264
0.1,1.1833369451904807,3.534125655641023,2.894256994154936,5.078431958584306
0.2,1.4816412072800764,4.045196468620058,3.038669749628713,5.118527675350692
0.30000000000000004,1.7910708951162233,4.557831190711162,3.1113611156018806,5.105997645704452
0.4,2.1039134304004525,5.0663959977609485,3.1084802404336576,5.0386299387864275
0.5,2.412766943202955,5.565557178468447,3.0394905966359587,4.924175591420483
0.6000000000000001,2.7118115497276443,6.051231116045045,2.923591186070984,4.777643195712198
0.7000000000000001,2.9974851804171516,6.521085817610887,2.783312935966431,4.616482169916729
0.8,3.2684741369209305,6.974527550028391,2.6388646600812105,4.456336848877842
0.9,3.5252581124333937,7.412353187386455,2.5052542620429885,4.308888086192382
1.0,3.769524989329528,7.836305167266867,2.3920409821177935,4.181670479138773
1.1,4.003666308856952,8.24868728321421,2.304530999287313,4.078971755703509
1.2000000000000002,4.230431189186991,8.652099518407569,2.2453305171133797,4.002998820086567
1.3,4.452732412279628,9.049287047231523,2.2156752974296046,3.954874687423695
1.4000000000000001,4.673566248672912,9.443074455892308,2.2163587372338123,3.9353333596546047
1.5,4.896004159726391,9.836353719162444,2.2482673301889067,3.945119836745876
1.6,5.123219714710693,10.232098423241483,2.312562531112632,3.9851250384205095
1.7000000000000002,5.358516665948917,10.633378726846546,2.4104959753812993,4.056246330914117
1.8,5.605318909786953,11.043347689424307,2.5427583407622567,4.158899419544859
1.9000000000000001,5.8670683341013685,11.465158610755518,2.708184414910413,4.292049252820194
2.0,6.1469557927690355,11.901757539988346,2.9016584589135475,4.45164395716823
2.1,6.447400025884078,12.355487402189164,3.1113730829932473,4.628567700062467
2.2,6.769230409367685,12.827471080000839,3.316422797450582,4.806848643425399
2.3000000000000003,7.1106845853741945,13.316857130874244,3.486936691580791,4.963773517348162
2.4000000000000004,7.466617747683843,13.820225783470471,3.5893715163258433,5.073869595024512
2.5,7.828558888639363,14.331631049879146,3.5971587006932815,5.116891832024928
2.6,8.1860494878225,14.843604149875457,3.5017826994715717,5.086118882919379
